Caption	Title	Extra	Gi	CreateDate	UpdateDate	Flags	TaxId	Slen	Biomol	MolType	Topology	SourceDb	SegSetSize	ProjectId	Genome	SubType	SubName	AssemblyGi	AssemblyAcc	Tech	Completeness	GeneticCode	Strand	Organism	Strain	BioSample
KBWQ00000000	TLS: soil metagenome internal transcribed spacer 2, targeted locus study	gi|1562123491|gb|KBWQ00000000.1|KBWQ01000000	1562123491	2019/01/25	2019/01/25	0	410658	4694	genomic	dna	linear	insd	0	436601	NA	country|isolation_source|lat_lon|collection_date	Hungary: Sirok|soil|47.92 N 20.19 E|22-Oct-2017	0	NA	targeted	NA	11	NA	soil metagenome	NA	SAMN08628702
KM823367	Otidea platyspora voucher KH.09.163 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762507|gb|KM823367.1|	719762507	2015/06/11	2017/03/15	0	566118	683	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	KH.09.163 (S)|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea platyspora	NA	NA
KM823359	Otidea nannfeldtii voucher NV 2008.10.01 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762491|gb|KM823359.1|	719762491	2015/06/11	2017/03/15	0	1421057	718	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	NV 2008.10.01 (S)|France|apothecium	0	NA	NA	NA	1	NA	Otidea nannfeldtii	NA	NA
KM823360	Otidea onotica voucher KH.10.284 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762493|gb|KM823360.1|	719762493	2015/06/11	2017/03/15	0	61494	705	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|type_material|country|isolation_source	KH.10.284 (S)|epitype of Peziza onotica|Sweden|apothecium	0	NA	NA	NA	1	NA	Otidea onotica	NA	NA
KM823361	Otidea oregonensis voucher Moorefun 31 (S) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762495|gb|KM823361.1|	719762495	2015/06/11	2017/03/15	0	1570476	716	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	Moorefun 31 (S)|USA|apothecium	0	NA	NA	NA	1	NA	Otidea oregonensis	NA	NA
KM823362	Otidea oregonensis voucher Moorefun 58 (OSC Holotype RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762497|gb|KM823362.1|	719762497	2015/06/11	2017/03/15	0	1570476	707	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	Moorefun 58 (OSC Holotype; S Isotype)|USA|apothecium	0	NA	NA	NA	1	NA	Otidea oregonensis	NA	NA
KM823363	Otidea oregonensis voucher OSC 56745 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762499|gb|KM823363.1|	719762499	2015/06/11	2017/03/15	0	1570476	716	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	OSC 56745|USA|apothecium	0	NA	NA	NA	1	NA	Otidea oregonensis	NA	NA
KM823364	Otidea papillata voucher TUR 102134 RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762501|gb|KM823364.1|	719762501	2015/06/11	2017/03/15	0	1421062	721	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	TUR 102134|Finland|apothecium	0	NA	NA	NA	1	NA	Otidea papillata	NA	NA
KM823365	Otidea phlebophora voucher JV06-385 (C) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762503|gb|KM823365.1|	719762503	2015/06/11	2017/03/15	0	566117	716	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	JV06-385 (C)|Denmark|apothecium	0	NA	NA	NA	1	NA	Otidea phlebophora	NA	NA
KM823366	Otidea platyspora voucher JV06-656 (C) RNA polymerase II largest subunit (RPB1) gene, partial cds	gi|719762505|gb|KM823366.1|	719762505	2015/06/11	2017/03/15	0	566118	722	genomic	dna	linear	insd	0	0	genomic	specimen_voucher|country|isolation_source	JV06-656 (C)|Denmark|apothecium	0	NA	NA	NA	1	NA	Otidea platyspora	NA	NA
